,Username,Channel Name,Country,Url,Main topic,Main video category,Likes,Likes Avg.,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
87,sunnyleone,sunnyleone,US,https://www.instagram.com/sunnyleone,Entertainment,Entertainment,2476466027.0,769200.1042,4559,53190031,84,3678.440476,1954614.246,354785.7778,299836.7368,0.010290731,0.005912132
88,ladygaga,ladygaga,US,https://www.instagram.com/ladygaga,Music,Music,3786872201.0,1435302.767,3546,53092230,83,13384.04198,3540913.194,451506.57315,635763.3333,0.020373518,0.012065139
89,beingsalmankhan,beingsalmankhan,IN,https://www.instagram.com/beingsalmankhan,Entertainment,Entertainment,1249737787.0,1399897.75,1173,52980205,76,17133.09769,3247875.586,411782.0,789300.3333,0.020451971,0.012979514
90,jbalvin,jbalvin,IN,https://www.instagram.com/jbalvin,Gaming,Gaming,7726895464.0,920868.0,9999,52762698,87,5561.646259,3099539.4,157988.8,273997.2222,0.014751861,0.00889085
91,sergioramos,sergioramos,IN,https://www.instagram.com/sergioramos,Gaming,Gaming,1794037640.0,966414.75,2218,52261132,87,3086.92,3099539.4,515387.0,687255.5714,0.015554936,0.016188071
92,ayutingting92,ayutingting92,ID,https://www.instagram.com/ayutingting92,Music,Music,1129273040.0,149139.9751,10018,52170594,85,849.2212544,934398.2594,57132.8,74728.48214,0.002178291,0.001786079
93,dishapatani,dishapatani,US,https://www.instagram.com/dishapatani,Entertainment,Entertainment,2448977592.0,1615190.0,2128,52062772,74,6306.800613,3530372.619,778869.0,1057708.444,0.022230538,0.018825353
96,hudabeauty,hudabeauty,US,https://www.instagram.com/hudabeauty,Fashion & Beauty,Fashion & Beauty,317929978.3,187183.8917,2330,50651842,82,2296.069552,1458333.507,19946.6,19626.22222,0.00273972,0.000654697
98,michelleobama,michelleobama,US,https://www.instagram.com/michelleobama,Entertainment,Entertainment,379263804.6,707602.75,592,50389066,85,6837.590123,1499868.049,1922041.333,879917.3333,0.012858834,0.010987463
99,jamesrodriguez10,jamesrodriguez10,CO,https://www.instagram.com/jamesrodriguez10,Sports,Sports,1163824879.0,1414736.5,1054,49753046,86,10241.77727,3021228.5,317195.0,317195.0,0.022404381,0.008694616
100,kritisanon,kritisanon,IN,https://www.instagram.com/kritisanon,Fashion & Beauty,Fashion & Beauty,1757213598.0,898828.3333,2652,49721095,76,3057.467249,1558894.051,778017.3333,736931.0,0.01338918,0.01678659
101,krisjenner,krisjenner,US,https://www.instagram.com/krisjenner,Entertainment,Entertainment,1842955603.0,354127.3869,6327,49106907,80,1544.50106,1364591.184,502489.4286,450692.7273,0.006014648,0.010083028
102,lelepons,lelepons,US,https://www.instagram.com/lelepons,Comedy,Comedy,4562719722.0,2414815.0,2517,49030990,81,13184.88662,10147577.37,451506.57315,1566125.333,0.037231689,0.033244747
103,charlidamelio,charlidamelio,US,https://www.instagram.com/charlidamelio,Entertainment,Entertainment,411783589.3,4278895.0,142,48873294,80,14338.71833,6469000.421,1128204.667,1265979.727,0.059700859,0.032485636
104,gucci,gucci,IT,https://www.instagram.com/gucci,Comedy,Comedy,968779713.7,116555.037,8791,48757827,86,482.4913715,478154.8653,79127.54902,82038.1573,0.002286573,0.001963874
106,prillylatuconsina96,prillylatuconsina96,ID,https://www.instagram.com/prillylatuconsina96,Entertainment,Entertainment,1656577996.0,377882.0,6420,48422538,84,1242.603787,1080167.675,147695.3077,210128.5217,0.005364222,0.005910595
107,dovecameron,dovecameron,US,https://www.instagram.com/dovecameron,Entertainment,Entertainment,204967634.0,1609562.917,170,48100914,85,2931.680707,2165141.406,1071102.0,1675806.125,0.025254923,0.034699988
